id,device_id,ts,voltage,humidity,temperature,latitude,longitude
292,device1,2025-11-11 18:13:57.45431+05:30,0.33,41.21,26.57,0,0
293,device2,2025-11-11 18:13:57.519746+05:30,0.49,35.79,29.71,0,0
294,device2,2025-11-11 18:14:07.02663+05:30,0.49,35.76,29.69,0,0
295,device1,2025-11-11 18:14:08.811735+05:30,0.31,41.13,26.52,0,0
296,device2,2025-11-11 18:14:21.993533+05:30,0.49,35.82,29.67,0,0
297,device1,2025-11-11 18:14:24.063507+05:30,0.31,41.17,26.49,0,0
298,device2,2025-11-11 18:14:36.87012+05:30,0.49,35.83,29.65,0,0
299,device1,2025-11-11 18:14:38.777867+05:30,0.32,41.19,26.49,0,0
300,device2,2025-11-11 18:14:52.241335+05:30,0.49,35.85,29.65,0,0
301,device1,2025-11-11 18:14:54.021101+05:30,0.33,41.14,26.53,0,0
302,device2,2025-11-11 18:15:06.871243+05:30,0.49,35.77,29.64,0,0
303,device1,2025-11-11 18:15:08.974377+05:30,0.34,41.00,26.54,0,0
304,device2,2025-11-11 18:15:22.230658+05:30,0.49,35.80,29.64,0,0
305,device1,2025-11-11 18:15:23.893597+05:30,0.30,41.07,26.55,0,0
306,device2,2025-11-11 18:15:36.984746+05:30,0.49,35.86,29.63,0,0
307,device1,2025-11-11 18:15:38.774706+05:30,0.33,41.19,26.57,0,0
308,device2,2025-11-11 18:15:52.150489+05:30,0.49,35.77,29.63,0,0
309,device1,2025-11-11 18:15:53.932453+05:30,0.33,40.95,26.56,0,0
310,device2,2025-11-11 18:16:07.071218+05:30,0.49,35.75,29.63,0,0
311,device1,2025-11-11 18:16:08.897602+05:30,0.32,41.03,26.55,0,0
312,device2,2025-11-11 18:16:22.076832+05:30,0.49,35.71,29.63,0,0
313,device1,2025-11-11 18:16:23.861824+05:30,0.32,41.00,26.56,0,0
314,device2,2025-11-11 18:16:37.191218+05:30,0.49,35.72,29.62,0,0
315,device1,2025-11-11 18:16:38.767904+05:30,0.31,40.99,26.57,0,0
316,device2,2025-11-11 18:16:51.942278+05:30,0.49,35.77,29.62,0,0
317,device1,2025-11-11 18:16:54.05746+05:30,0.32,40.93,26.58,0,0
318,device2,2025-11-11 18:17:07.117476+05:30,0.49,35.79,29.62,0,0
319,device1,2025-11-11 18:17:08.9605+05:30,0.33,40.95,26.60,0,0
320,device2,2025-11-11 18:17:21.956726+05:30,0.49,35.71,29.59,0,0
321,device1,2025-11-11 18:17:23.741311+05:30,0.33,40.92,26.56,0,0
322,device2,2025-11-11 18:17:37.005108+05:30,0.49,35.80,29.58,0,0
323,device1,2025-11-11 18:17:38.892562+05:30,0.32,41.07,26.54,0,0
324,device2,2025-11-11 18:17:52.048744+05:30,0.49,35.92,29.54,0,0
325,device1,2025-11-11 18:17:54.053977+05:30,0.33,41.14,26.52,0,0
326,device2,2025-11-11 18:18:07.087632+05:30,0.49,35.90,29.53,0,0
327,device1,2025-11-11 18:18:08.936471+05:30,0.30,41.13,26.49,0,0
328,device2,2025-11-11 18:18:22.029067+05:30,0.49,35.93,29.51,0,0
329,device1,2025-11-11 18:18:23.884588+05:30,0.33,41.12,26.46,0,0
330,device2,2025-11-11 18:18:37.105333+05:30,0.49,35.98,29.48,0,0
331,device1,2025-11-11 18:18:38.846195+05:30,0.33,41.28,26.45,0,0
332,device2,2025-11-11 18:18:52.021369+05:30,0.49,36.10,29.48,0,0
333,device1,2025-11-11 18:18:54.038461+05:30,0.33,41.32,26.48,0,0
334,device2,2025-11-11 18:19:07.315298+05:30,0.49,36.01,29.49,0,0
335,device1,2025-11-11 18:19:08.952456+05:30,0.31,41.13,26.44,0,0
336,device2,2025-11-11 18:19:22.310864+05:30,0.49,36.05,29.48,0,0
337,device1,2025-11-11 18:19:23.794033+05:30,0.32,41.24,26.41,0,0
